Key,Value
Identity Theft,1147
Fondling,982
Bribery,982
Stolen Property Offenses,12711
Pocket-Picking,340
Murder and Nonnegligent Manslaughter,344
Welfare Fraud,21
Extortion/Blackmail,109
Theft from Coin-operated Machine or Device,889
Statutory Rape,31
Intimidation,8189
Gambling Equipment Violation,2
Shoplifting,2697
Robbery,6808
Incest,0
Animal Cruelty,145
Destruction/Damage/Vandalism of Property,295271
Operating/Promoting/Assisting Gambling,6
Hacking/Computer Invasion,69
Sports Tampering,0
Kidnapping/Abduction,4240
Motor Vehicle Theft,29080
embezzlement,346
Impersonation,1743
Weapon Law Violations,7462
Negligent Manslaughter,3
Wire Fraud,71
Theft From Building,43694
Theft of Motor Vehicle Parts or Accessories,1915
False Pretenses/Swindle/Confidence game,4113
Drug Equipment Violations,8457
Sexual Assault with an Object,158
Counterfeiting/Forgery,2785
Purse-snatching,267
Prostitution,24
Credit Card/Automated Teller Machine Fraud,5315
Pornography/Obscene Material,79
"Human Trafficking, Commercial Sex Acts",2
Betting/Wagering,0
"Human Trafficking, Involuntary Servitude",0
Purchasing Prostitution,1
Theft from Motor Vehicle,20263
Drug/Narcotic Violations,15014
Aggravated Assault,17962
Simple Assault,31799
Assisting or Promoting Prostitution,12
Burglary/Breaking & Entering,0
Arson,2584
All Other Larceny,81300
Sodomy,253
